status_id,created_at,screen_name,text,source,favorite_count,retweet_count
x1175993161770045441,9/23/19 4:39,JoeBiden,"Tonight, you made history, @theebillyporter. And as you did it, you reminded us that there is so much more that unites us than divides us. You blazed a trail that will mean so much to so many young people who can now imagine themselves standing on that stage because of you.",Twitter Web Client,5318,784
x1175939998853599239,9/23/19 1:08,JoeBiden,"It’s time we start rewarding work, not just wealth. America's workers deserve better. I’m proud to stand in solidarity with @UAW. https://t.co/QgN1792VQq",Twitter Web Client,3420,652
x1175933044357849089,9/23/19 0:41,JoeBiden,"I’m running for president to restore the backbone of this country — the middle class. And this time, everyone is going to come along.",TweetDeck,21600,2952
x1175912911849447424,9/22/19 23:21,JoeBiden,We must take action to end the gun violence epidemic. Enough is enough. https://t.co/ShgTkAuZag,TweetDeck,2586,606
x1175906620326461441,9/22/19 22:56,JoeBiden,"Let’s be clear, Donald Trump pressured a foreign government to interfere in our elections. It goes against everything the United States stands for.

We must make him a one-term president.",TweetDeck,71287,12278
x1175896558870642689,9/22/19 22:16,JoeBiden,"Today, I proudly stood alongside @UAW members on strike in Kansas City as they fight for a fair contract. Everything that defines a middle class life is because of unions fighting for worker protections. I stand with you, and America stands with you. https://t.co/5tejdcZXnJ",TweetDeck,1527,323
x1175871246539591683,9/22/19 20:35,JoeBiden,We're going to beat Donald Trump. Like a drum. Join us: https://t.co/w4ZGEZeA0y https://t.co/sBGYPZR4Uc,Twitter Media Studio,6919,1209
x1175853481346945024,9/22/19 19:24,JoeBiden,"I’ll protect and build on Obamacare to ensure every American has access to affordable, quality health care. With my plan, if you like your private insurance, you can keep it. https://t.co/ZJgtBOZHkU",TweetDeck,2578,599
x1175842447445807104,9/22/19 18:41,JoeBiden,"I’m even more optimistic about the future of our country than I was as a 29-year-old in the Senate. We are the United States of America — together, there is nothing we can’t do. https://t.co/I7hmPFVeIx",Twitter Media Studio,5397,903
x1175812248541040640,9/22/19 16:41,JoeBiden,"America was built by hard-working, ordinary people doing extraordinary things. It’s time we start rewarding work, not just wealth.
https://t.co/lLcF9p7mGa",TweetDeck,1496,323
x1175524590359105536,9/21/19 21:37,JoeBiden,"Desperate Donald Trump knows that I can beat him, so now he’s enlisting the help of a foreign government — once again. It’s an abuse of power and violates every basic norm of the presidency.

We cannot give him four more years in the White House.

https://t.co/cqhkBUviAs https://t.co/vXmH3lTW6k",Twitter Media Studio,47547,11861
